Norma,Número,Link,Publicación,Descripción
LEY,31061,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605120&View,31/10/2020,LEY DE MOVILIZACIÓN PARA LA DEFENSA NACIONAL Y EL ORDEN INTERNO
LEY,31062,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201602064&View,04/11/2020,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO CIUDAD DE DIOS
LEY,31063,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605755&View,04/11/2020,LEY QUE DECLARA DE INTERÉS NACIONAL LA CONSTRUCCIÓN Y EQUIPAMIENTO DEL HOSPITAL PAPA FRANCISCO DE MANCHAY
LEY,31064,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201606133&View,05/11/2020,"LEY QUE MODIFICA EL ARTÍCULO 5 DEL DECRETO DE URGENCIA 016-2019, DECRETO DE URGENCIA PARA EL ENDEUDAMIENTO DEL SECTOR PÚBLICO PARA EL AÑO FISCAL 2020"
LEY,31065,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201602093&View,14/11/2020,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE PALMA REAL
LEY,31066,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201601998&View,14/11/2020,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE UNIÓN CHANKA DE CUPISA
LEY,31067,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604604&View,14/11/2020,LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN E IMPLEMENTACIÓN DEL PARQUE CIENTÍFICO-TECNOLÓGICO DE AREQUIPA
LEY,31068,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604856&View,18/11/2020,LEY QUE FACULTA EL RETIRO DE LOS FONDOS PRIVADOS DE PENSIONES EN EL CONTEXTO DE LA PANDEMIA COVID-19
LEY,31069,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201601180&View,18/11/2020,LEY QUE FORTALECE LOS INGRESOS Y LAS INVERSIONES DE LOS GOBIERNOS REGIONALES A TRAVÉS DEL FONDO DE COMPENSACIÓN REGIONAL (FONCOR)
LEY,31070,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605154&View,21/11/2020,"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL EL PROYECTO DE INVERSIÓN REPRESA LA POLVAREDA EN LA PROVINCIA DE PISCO, DEPARTAMENTO DE ICA"
LEY,31071,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605927&View,21/11/2020,LEY DE COMPRAS ESTATALES DE ALIMENTOS DE ORIGEN EN LA AGRICULTURA FAMILIAR
LEY,31072,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201602533&View,24/11/2020,LEY DE LA SOCIEDAD DE BENEFICIO E INTERÉS COLECTIVO (SOCIEDAD BIC)
LEY,31073,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605207&View,24/11/2020,"LEY QUE MODIFICA LA LEY 29676, LEY DE PROMOCIÓN DEL DESARROLLO DE LOS MERCADOS DE PRODUCTORES AGROPECUARIOS, PARA INCORPORAR LA IMPLEMENTACIÓN DE LOS MERCADOS ITINERANTES"
LEY,31074,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605671&View,24/11/2020,LEY QUE PROMUEVE LA CREACIÓN E IMPLEMENTACIÓN DE LA PLATAFORMA DIGITAL MERCADO VIRTUAL DE PRODUCTOS AGROPECUARIOS
LEY,31075,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604493&View,24/11/2020,LEY DE ORGANIZACIÓN Y FUNCIONES DEL MINISTERIO DE DESARROLLO AGRARIO Y RIEGO
LEY,31076,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201603084&View,24/11/2020,LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL MUSEO DE SITIO EN EL SANTUARIO DE LA PAMPA DE LA QUINUA EN CONMEMORACIÓN DEL BICENTENARIO DE LA BATALLA DE AYACUCHO
LEY,31077,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605103&View,24/11/2020,LEY QUE DECLARA DE INTERÉS NACIONAL LA REHABILITACIÓN Y CONSERVACIÓN DE LOS ANDENES A NIVEL NACIONAL POR SU UTILIDAD E IMPORTANCIA EN LA PRODUCCIÓN AGRÍCOLA
LEY,31078,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201605542&View,28/11/2020,"LEY QUE PROMUEVE, DIFUNDE E INCENTIVA EL CONSUMO DEL CAFÉ PERUANO ""CAFETEA PERÚ"""
LEY,31079,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201604292&View,28/11/2020,"LEY QUE MODIFICA LA LEY 27972, LEY ORGÁNICA DE MUNICIPALIDADES, RESPECTO DE LAS MUNICIPALIDADES DE CENTROS POBLADOS, MODIFICADA POR LA LEY 30937, Y LA LEY 28440, LEY DE ELECCIONES DE AUTORIDADES MUNICIPALES DE CENTROS POBLADOS"
LEY,31080,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201601235&View,04/12/2020,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE CHINCHE
LEY,31081,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201603076&View,04/12/2020,LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE PULPERA CONDES
LEY,31082,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201601610&View,04/12/2020,"LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE SANTA ROSA, EN LA PROVINCIA DE HUAURA, DEPARTAMENTO DE LIMA"
LEY,31083,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201600133&View,04/12/2020,LEY QUE ESTABLECE UN RÉGIMEN ESPECIAL FACULTATIVO DE DEVOLUCIÓN DE LOS APORTES PARA LOS APORTANTES ACTIVOS E INACTIVOS BAJO EL DECRETO LEY 19990 ADMINISTRADOS POR LA OFICINA DE NORMALIZACIÓN PREVISIONAL (ONP)
LEY,31084,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201606076&View,06/12/2020,LEY DE PRESUPUESTO DEL SECTOR PÚBLICO PARA EL AÑO FISCAL 2021
LEY,31085,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201606078&View,06/12/2020,LEY DE EQUILIBRIO FINANCIERO DEL PRESUPUESTO DEL SECTOR PÚBLICO PARA EL AÑO FISCAL 2021
LEY,31086,http://www2.congreso.gob.pe/Sicr/TraDocEstProc/Expvirt_2011.nsf/Repexpvirt?OpenForm&Db=201606077&View,06/12/2020,LEY DE ENDEUDAMIENTO DEL SECTOR PÚBLICO PARA EL AÑO FISCAL 2021
